config,model_kind,n_seeds,seeds,unseeded_only,n_eval,prior_eval,encoder_family,encoder_init,encoder_target,embedding_native_dim,embedding_pca_dim,has_embedding,has_readout,readout_dim,has_descriptors,descriptor_sources,descriptor_pca_width,regressor,train_data,n_features,ffn_hidden_dim,freeze_epochs,gradient_clip_val,aux_use_observed_readout,aux_use_predicted_readout,encoder_finetune_target,aux_encoder_target,aux_readout_tasks,calibration,axes_source,mae_mean,mae_sd,rmse_mean,rmse_sd,rae_mean,rae_sd,r2_mean,r2_sd,kendall_tau_mean,kendall_tau_sd,spearman_rho_mean,spearman_rho_sd,config_fingerprint,spec_source
tabicl_chemeleon_readout_only,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemeleon,chemeleon_pretrained,none,2048,256,True,True,2,False,,,tabicl,drc_plus_primary,258,,,,,,none,none,,none,recorded,0.43558347142300197,0.005740098130733137,0.6312879636019713,0.007774057896706542,0.572501898521111,0.0075444026073957764,0.5976336071046682,0.009919774108976922,0.6117973662967368,0.006977493683953258,0.8050196123041771,0.005717375847268916,55a155297e539ba0,launch_script
tabicl_chemeleon_readout_descriptors_pca64,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemeleon,chemeleon_pretrained,none,2048,256,True,True,2,True,mordred,64,tabicl,drc_plus_primary,322,,,,,,none,none,,none,recorded,0.4360429086939571,0.007140380403614489,0.6270428015720639,0.012429724166575696,0.5731057522647204,0.009384840347310651,0.6029503017728021,0.0157544877424942,0.6188503902820391,0.00967541994641007,0.8127907889904481,0.009478134472385642,cac517bd4c167b9d,convention
tabicl_chemeleon_readout_descriptors,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemeleon,chemeleon_pretrained,none,2048,256,True,True,2,True,mordred,128,tabicl,drc_plus_primary,386,,,,,,none,none,,none,recorded,0.43816144491228065,0.004287955833427491,0.6273125164859246,0.007821060845593652,0.5758902151441627,0.005635803506024099,0.6026841372502366,0.009879318363994603,0.6171215504967672,0.007357558246716537,0.8116447063939299,0.006774516037132652,84628d0e27a93368,convention
tabpfn-v3_chemeleon_readout_descriptors,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemeleon,chemeleon_pretrained,none,2048,256,True,True,2,True,mordred,128,tabpfn-v3,drc_plus_primary,386,,,,,,none,none,,none,recorded,0.4436247207797271,0.004077673190669529,0.6319690439598447,0.007622542087388763,0.5830707810091614,0.005359422008324725,0.5967669226435943,0.009684840342266231,0.6113597644469598,0.007967715837088598,0.8056781214531294,0.008275891394464774,05820b65f540187b,launch_script
tabpfn_chemeleon_readout_descriptors,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemeleon,chemeleon_pretrained,none,2048,256,True,True,2,True,mordred,128,tabpfn,drc_plus_primary,386,,,,,,none,none,,none,recorded,0.4436922690058479,0.0034705131849886313,0.6321304351612361,0.007060410551572412,0.5831595618978612,0.004561411342716109,0.5965676321798672,0.008983027499476406,0.6111748966139505,0.007316266023602964,0.8055589484225427,0.007531051753399417,67b6401ff82b7724,launch_script
tabicl_readout_mordred_pca128_no_embed,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,False,True,2,True,mordred,128,tabicl,drc_plus_primary,130,,,,,,log2fc,none,,none,recorded,0.4442627697855751,0.004610520614958438,0.625519732942382,0.008419908222026795,0.5839093901189243,0.006059761167271506,0.6049437171487131,0.010557447126970642,0.610263279387323,0.007987516159109469,0.805338683692522,0.007397717751314674,61284a5b33fecb1d,convention
tabpfn_chemeleon_readout_only,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemeleon,chemeleon_pretrained,none,2048,256,True,True,2,False,,,tabpfn,drc_plus_primary,258,,,,,,none,none,,none,recorded,0.4444284631189084,0.006365578332461572,0.6385617302816098,0.011516327745730913,0.5841271663986249,0.008366492118292672,0.5882508028207086,0.014873424669936972,0.6001197896775199,0.00842370792766691,0.7956075292895531,0.00863503554344948,a50582ae4175f4f4,launch_script
tabpfn-v3_chemeleon_readout_only,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemeleon,chemeleon_pretrained,none,2048,256,True,True,2,False,,,tabpfn-v3,drc_plus_primary,258,,,,,,none,none,,none,recorded,0.4453354842495127,0.0052155857547320885,0.6392760449580228,0.010361189123409954,0.5853192945516362,0.006855018480680781,0.587349746545668,0.013402694713852394,0.5991474767156447,0.00796963616307251,0.7947256734760119,0.008260647223646644,1a21643f5548d54d,launch_script
tabicl_embed_readout_mordred_pca128,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,True,True,2,True,mordred,128,tabicl,drc_plus_primary,386,,,,,,log2fc,none,,none,recorded,0.4501376031189084,0.003654299866522089,0.6349403207055868,0.007820960941558085,0.5916308797012556,0.004802968314005808,0.5929642811947433,0.010035449496212072,0.6005238037731513,0.004438782247781619,0.7951789990594385,0.004976817203845067,e3bc8faac54474c3,launch_script
tabicl_chemeleon_readout_only_calibrated,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemeleon,chemeleon_pretrained,none,2048,256,True,True,2,False,,,tabicl,drc_plus_primary,258,,,,,,none,none,,isotonic_oof,recorded,0.45074246311361044,0.009200634117257748,0.6585252870880582,0.012614905581384598,0.5924258673856486,0.012092700585080149,0.5620884632474438,0.01695051374162818,0.6224474339748862,0.007662267938665854,0.8045702952672211,0.006268131082834597,55a155297e539ba0,convention
tabpfn_readout_mordred_pca128_no_embed,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,False,True,2,True,mordred,128,tabpfn,drc_plus_primary,130,,,,,,log2fc,none,,none,recorded,0.45307641610136457,0.003916398073377478,0.6326384007628351,0.007608638515517518,0.5954934597168797,0.005147452737470004,0.5959125634768079,0.009660721586243448,0.6070936205764869,0.0081750571774994,0.8024949945655241,0.008630154830036279,bb10efef1a5aa049,launch_script
tabpfn-v2.6_embed_readout_mordred_pca128,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,True,True,2,True,mordred,128,tabpfn-v2.6,drc_plus_primary,386,,,,,,log2fc,none,,none,recorded,0.4537132976218324,0.0075275778936570534,0.635479095339804,0.008933074037605218,0.5963305343616307,0.009893746935129028,0.5922582489900203,0.011561872577797325,0.608992526455008,0.006007269080523725,0.8059764726447082,0.004937236859770621,f69dec64f1f08f60,convention
tabpfn-v3_readout_mordred_pca128_no_embed,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,False,True,2,True,mordred,128,tabpfn-v3,drc_plus_primary,130,,,,,,log2fc,none,,none,recorded,0.45487953805068226,0.00271452305898819,0.6354208577574181,0.007089743104931894,0.5978633630924074,0.003567788281252006,0.592356820758943,0.009040871542867927,0.6056508549269858,0.006658609400603997,0.8012612781935659,0.007253036537948788,d1ef4dd832b81f32,launch_script
tabpfn-v2.6_chemeleon_readout_descriptors,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemeleon,chemeleon_pretrained,none,2048,256,True,True,2,True,mordred,128,tabpfn-v2.6,drc_plus_primary,386,,,,,,none,none,,none,recorded,0.4570670499415205,0.0074563842463636985,0.6454115011804873,0.009228129693773618,0.6007384830010005,0.009800174747679122,0.5794105070825402,0.011960027867904455,0.6014334789771068,0.008621240294215465,0.7979458089290041,0.0083070186904278,b7dde4ccd09ae133,launch_script
tabpfn_embed_readout_mordred_pca128,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,True,True,2,True,mordred,128,tabpfn,drc_plus_primary,386,,,,,,log2fc,none,,none,recorded,0.45737506152046786,0.009488615999178595,0.6410175826958716,0.010047812443509274,0.6011433129022312,0.01247120478681383,0.585104010413882,0.013095683467717181,0.605693524195698,0.007836565181137541,0.8029517744090973,0.00632621096299537,8fa7abaf5b2eb8dd,launch_script
tabpfn-v3_embed_readout_mordred_pca128,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,True,True,2,True,mordred,128,tabpfn-v3,drc_plus_primary,386,,,,,,log2fc,none,,none,recorded,0.4573840190643275,0.004773748332648822,0.6365198456931382,0.00854587762800592,0.6011550861011752,0.006274296806017664,0.5909272813750155,0.011047848228275854,0.6062452153989198,0.004585808418705883,0.8023890149224183,0.004939937640372752,d13f5a26e303bb6e,convention
tabpfn_concat_small_embed,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,True,True,2,True,all,128,tabpfn,drc_plus_primary,386,,,,,,log2fc,none,,none,recorded,0.4581211423781677,0.0032946542354080153,0.6357721933247739,0.007482928756070368,0.602123911881545,0.004330274054200748,0.5919013271750769,0.009651051971813611,0.6064139159040789,0.0049270593986152,0.802201350765821,0.0053308112945678375,60b06b1cadd56432,launch_script
cpu_oom_repro_tabfm_full_rows,tabular,1,-1,True,513,phase1+phase2 pooled,chemeleon,chemeleon_pretrained,none,2048,256,True,True,2,True,mordred,128,tabfm,drc_plus_primary,386,,,,,,none,none,,none,recorded,0.458548799220273,,0.6481873097922999,,0.602685995546522,,0.5758543230010444,,0.5956627121278634,,0.7913308623677431,,c91c7de9b6d8599a,launch_script
tabpfn-v2.6_chemeleon_readout_only,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemeleon,chemeleon_pretrained,none,2048,256,True,True,2,False,,,tabpfn-v2.6,drc_plus_primary,258,,,,,,none,none,,none,recorded,0.4592864787134503,0.004948755041248218,0.6514491781543463,0.009884964263748844,0.603655552331963,0.006504313965759276,0.571495817411692,0.012977939056439899,0.5843555180824773,0.007902950772784842,0.7800168176899376,0.008137640031922262,675b8bcdd179e399,launch_script
tabpfn_embed_readout_mordred_pca256,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,True,True,2,True,mordred,256,tabpfn,drc_plus_primary,514,,,,,,log2fc,none,,none,recorded,0.4596294999220273,0.009494603628558551,0.6445224589831462,0.010135514202729923,0.6041063965582184,0.012479074528005955,0.5805540379130509,0.013300221294393877,0.6034562869188633,0.006539224414206713,0.8010715110074809,0.0048560012837459456,ad59aaf88a08168a,launch_script
tabpfn_concat_pca256,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,True,True,2,True,all,256,tabpfn,drc_plus_primary,514,,,,,,log2fc,none,,none,recorded,0.4598755660038987,0.00511010756860089,0.637927928546971,0.010299593789860319,0.604429809424581,0.006716384979241019,0.5890889819565602,0.013337933157654506,0.6053440668457146,0.0046145220485278434,0.8015450254078391,0.005863858528267535,a81a6eb4b338c0c5,launch_script
tabpfn_concat_pca64,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,True,True,2,True,all,64,tabpfn,drc_plus_primary,322,,,,,,log2fc,none,,none,recorded,0.46036687602339177,0.0022568984058509356,0.6389273179682489,0.006655647044667461,0.6050755545856711,0.0029663169217552386,0.5878506584872593,0.008634314549580253,0.6038098599801078,0.0040469508206130165,0.8005094537030804,0.004657817833412468,fcf85c6ba42b8830,launch_script
tabpfn_embed_mordred_pca128_no_readout,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,True,False,0,True,mordred,128,tabpfn,drc_plus_primary,384,,,,,,log2fc,none,,none,recorded,0.46098825653021436,0.0041650453207334095,0.6487337319107608,0.008837558702985224,0.6058922557306842,0.005474258115801455,0.5750758350395088,0.011570530020883665,0.6028812804093662,0.006658950150921563,0.7990885007185199,0.007483019488315023,82ad7fed377a567f,launch_script
tabpfn_embed_readout_mordred_pca64,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,True,True,2,True,mordred,64,tabpfn,drc_plus_primary,322,,,,,,log2fc,none,,none,recorded,0.46509760623781676,0.005874383918198114,0.6482380386891328,0.007309634143461037,0.6112933112427398,0.00772089890101534,0.5757447793839179,0.009629439550424588,0.6004215419760329,0.004886741192990311,0.7976943770921535,0.004010244066085183,be0f59dca9246d25,launch_script
tabpfn-v2.6_readout_mordred_pca128_no_embed,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,False,True,2,True,mordred,128,tabpfn-v2.6,drc_plus_primary,130,,,,,,log2fc,none,,none,recorded,0.46562625403508784,0.00527911296036717,0.6454545147649612,0.009181138178037566,0.6119881306916917,0.006938514407913765,0.5793551524828647,0.011921193493141741,0.5981416357206013,0.008872886768124207,0.7949459241029899,0.008871701526239069,6a0f6ad7cd76208a,launch_script
tabpfn_embed_readout_rdkit_pca128,tabular,1,-1,True,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,True,True,2,True,rdkit,128,tabpfn,drc_plus_primary,386,,,,,,log2fc,none,,none,recorded,0.466327495711501,,0.6560560597791704,,0.6129097960380767,,0.5654938786849746,,0.5881960018817336,,0.7868316097698079,,7ebfcd3bb3d5f82e,convention
tabpfn_chemeleon_log2fc_mordred_pca128,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,chemeleon_pretrained,log2fc,2048,128,True,True,2,True,mordred,128,tabpfn,drc_plus_primary,258,,,,,,log2fc,none,,none,recorded,0.467993639454191,0.006927092587951269,0.6631534850646841,0.004873297756841646,0.6150996643835924,0.009104509050533723,0.5560225920293335,0.006503496561648923,0.5943285839484826,0.006726111204244786,0.7899597037666335,0.00891233345818977,146b074a84660a75,launch_script
tabpfn_pec50_scratch_mordred_pca128,tabular,1,-1,True,513,phase1+phase2 pooled,chemprop,scratch,pec50,2048,128,True,False,,True,mordred,128,tabpfn,drc_plus_primary,256,,,,,,pec50,none,,none,recorded,0.4745060200779727,,0.6914987778392477,,0.6236591036543871,,0.5172782910587472,,0.5780309118257655,,0.7739220289006397,,d2cf36dcabe10e3d,convention
tabpfn_embed_only_no_readout,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,True,False,0,False,,,tabpfn,drc_plus_primary,256,,,,,,log2fc,none,,none,recorded,0.47798951914230015,0.009520354200756035,0.6644412484082789,0.014462456525817246,0.6282375827718542,0.012512919364732436,0.5541469495549144,0.01965270391642399,0.5535097275678156,0.006851323321096694,0.7481688027993716,0.005349300933818522,bff5f8387ec0098d,launch_script
tabpfn_small_embed,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,True,True,2,False,,,tabpfn,drc_plus_primary,258,,,,,,log2fc,none,,none,recorded,0.4787040229239766,0.008714979957300903,0.6617154166469092,0.012333766381321871,0.6291766789459443,0.011454389109000374,0.5578423023582588,0.016628105239064047,0.5518139316093492,0.004721851602695671,0.746165662246794,0.003540799868856482,d48fc6b90c079cf8,launch_script
tabfm_n32_chemeleon_readout_descriptors,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemeleon,chemeleon_pretrained,none,2048,256,True,True,2,True,mordred,128,tabfm,drc_plus_primary,386,,,,,,none,none,,none,recorded,0.47950145886939566,0.006263632804524181,0.6515110486315985,0.010346170447461911,0.6302247756315462,0.008232501707455389,0.5714068997362196,0.013553600789600289,0.590968286444152,0.010678946920132692,0.787921636172187,0.010576949205315602,c91c7de9b6d8599a,launch_script
tabfm_n16_embed_readout_mordred_pca128,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,True,True,2,True,mordred,128,tabfm,drc_plus_primary,386,,,,,,log2fc,none,,none,recorded,0.48018291040935673,0.003617427224364645,0.651996768923172,0.006387358103722212,0.6311204301408949,0.004754505369418726,0.5708212337401555,0.00845321221567082,0.5825385975261156,0.00514750528742986,0.7804488023548309,0.004926546426026561,1911bbe88da77c90,launch_script
tabfm_n64_embed_readout_mordred_pca128,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,True,True,2,True,mordred,128,tabfm,drc_plus_primary,386,,,,,,log2fc,none,,none,recorded,0.4801905488888889,0.003697840281311128,0.6510698745756164,0.006272354347716163,0.6311304696495561,0.004860194934767333,0.5720417103552918,0.00828680083539366,0.5816200013630132,0.005665973799586837,0.7787776288911039,0.005301759207737725,1911bbe88da77c90,launch_script
tabfm_n32_chemeleon_readout_only,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemeleon,chemeleon_pretrained,none,2048,256,True,True,2,False,,,tabfm,drc_plus_primary,258,,,,,,none,none,,none,recorded,0.48040381918128655,0.0035424230744561984,0.6567274261391761,0.009340993118780566,0.6314107779149201,0.004655924911167454,0.5645336636883107,0.012353873912444795,0.5645226726683905,0.01079880092938157,0.7610165697046549,0.011422838737998629,093064e0d470a782,launch_script
tabfm_embed_readout_mordred_pca128,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,True,True,2,True,mordred,128,tabfm,drc_plus_primary,386,,,,,,log2fc,none,,none,recorded,0.48242011738791424,0.0035219559826848196,0.6529102739560695,0.006199429983678239,0.6340608659623568,0.004629024329154986,0.5696197592953443,0.00820972600979757,0.5815225460159841,0.0051987461489113335,0.7794322426865634,0.004816758526212147,1911bbe88da77c90,launch_script
tabfm_n32_embed_readout_mordred_pca128,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,True,True,2,True,mordred,128,tabfm,drc_plus_primary,386,,,,,,log2fc,none,,none,recorded,0.48242011738791424,0.0035219559826848196,0.6529102739560695,0.006199429983678239,0.6340608659623568,0.004629024329154986,0.5696197592953443,0.00820972600979757,0.5815225460159841,0.0051987461489113335,0.7794322426865634,0.004816758526212147,1911bbe88da77c90,launch_script
